scope	key	en-US	zh-HANS	nl-NL	de-DE	ro-RO	es-ES	zh-HANT
LINETOOL	Title	Line tool	Line Tool	Lijn penseel	Linienwerkzeug	Instrumentul pentru linii	Line tool	Line Tool
LINETOOL	LineMode	Line mode	摆放模式	Lijn modus	Linienmodus	Mod „linie”	Modo de línea	擺放模式
LINETOOL	Options	Options	设置	Opties	Einstellungen	Opțiuni	Opciones	設定
LINETOOL	FenceMode	Fence mode	栅栏模式	Schutting modus	Zaunmodus	Mod „gard”	Modo valla	柵欄模式
LINETOOL_DESCRIPTION	FenceMode	Automatically aligns and places objects continuously, like a fence.	像栅栏一样，自动对齐和放置物体。	Lijnt en plaatst objecten automatisch continu uit, zoals een schutting.	Platziert Objekte automatisch wie einen Zaun und richtet sie entsprechend aus.	Aliniază automat și plasează obiectele continuu, ca un gard.	Alinea y coloca objetos de forma continua automáticamente, como una valla.	自動對齊與放置物品，就像柵欄一樣。
LINETOOL	PointMode	Single item	单个物体	Enkel object	Einzelnes Objekt	Element unic	Un elemento	單件物品
LINETOOL_DESCRIPTION	PointMode	Place one object at a time using the standard game tool.	使用游戏默认工具，一次只摆放一个物体。	Plaats één object tegelijkertijd met behulp van de standaard game tool.	Platziere einzelne Objekt mit dem Standardwerkzeug.	Plasează un obiect pe rând folosind instrumentul standard al jocului.	Coloca un elemento a la vez usando la herramienta estándar del juego.	使用遊戲預設工具，一次僅擺放一個物品。
LINETOOL	StraightLine	Straight line	直线	Rechte lijn	Gerade Linie	Linie dreaptă	Línea recta	直線
LINETOOL_DESCRIPTION	StraightLine	Place objects along a straight line from point A to point B.	将物体沿着从 A 点到 B 点的直线放置。	Plaats voorwerpen langs een rechte lijn van punt A naar punt B.	Platziert Objekte entlang einer geraden Linie von Punkt A zu Punkt B.	Plasează obiecte de-a lungul unei linii drepte de la punctul A la punctul B.	Coloca objetos en línea del punto A al punto B.	從Ａ點到Ｂ點以直線擺放物品。
LINETOOL	SimpleCurve	Simple curve	简单曲线	Eenvoudige bocht	Einfache Kurve	Curbă simplă	Curva simple	簡易曲線
LINETOOL_DESCRIPTION	SimpleCurve	Define a start and bend, then define end point.	先设置起点和曲率，再设置终点。	Definieer een begin en daarna een bocht, definieer vervolgens een eindpunt.	Definiere einen Start und eine Kurve, dann definiere den Endpunkt.	Definește un început și o curbă, apoi definește punctul final.	Define un comienzo y la curva, luego define el pinto final.	設定起點與曲率，最後設置終點。
LINETOOL	Circle	Circle	圆圈	Cirkel	Kreis	Cerc	Círculo	圓圈
LINETOOL_DESCRIPTION	Circle	Define the center of the circle, then set the radius.	先设置圆心，再设置半径。	Definieer het middelpunt van de cirkel, stel vervolgens de straal in.	Definiere die Mitte des Kreises und lege dann den Radius fest.	Definește centrul cercului, apoi setează raza.	Define el centro del círculo, luego establece el radio.	設定圓心位置，再設置圓圈半徑。
LINETOOL	FixedLength	Fixed length	固定两端	Vaste lengte	Fixierte Länge	Lungime fixă	Longitud fija	固定端點
LINETOOL_DESCRIPTION	FixedLength	Space items along the full length of the line from start to end, using the set spacing distance only as an approximation. If this is NOT set then items will be spaced exactly according to the set distance, even if it means they can't be placed along the full length of the line.	选择此功能后，物品将以预设间距作为近似值，沿线均匀分布，并且起始与终点固定。若不选择此功能，物品将按照设定的间距精确间隔放置，此时物品无法均匀分布，且终点不固定。	Plaats items langs de volledige lengte van de lijn van begin tot eind, waarbij de ingestelde tussenafstand alleen als een schatting wordt gebruikt. Als dit NIET is ingesteld, worden items precies volgens de ingestelde afstand geplaatst, zelfs als dit betekent dat ze niet over de volledige lengte van de lijn kunnen worden geplaatst.	Zwischenräume entlang der gesamten Länge der Linie von Anfang bis Ende verteilen, wobei die festgelegte Abstandsdistanz nur als Annäherungswert dient. Wenn diese Option NICHT gesetzt ist, werden die Elemente genau entsprechend der festgelegten Abstandsdistanz platziert, auch wenn es bedeutet, dass sie nicht entlang der gesamten Länge der Linie platziert werden können.	Distanțează elementele pe toată lungimea liniei până la sfârșit, folosind distanța de spațiere setată doar ca o aproximare. Dacă aceasta NU este setată, atunci elementele vor fi spațiate exact în funcție de distanța setată, chiar dacă aceasta înseamnă că nu pot fi plasate pe toată lungimea liniei.	Separa a lo largo de la línea desde el inicio hasta el final, utilizando la configuración de separación de manera aproximada. Si no existe un valor, los elementos tendrán una separación acorde a la distancia configurada, aun si esto significa que no se pueden colocar a lo largo de la línea.	啟用此功能時，物品將以預設間距作為近似值，沿線平均分佈，且起點與終點固定。 如不啟用此功能，物品將按照設定的間距精確放置，此時擺放物品將無法平均分佈，終點位置也不固定。
LINETOOL	RandomRotation	Random rotation	随机旋转	Willekeurige rotatie	Zufällige Rotation	Rotație aleatorie	Rotación aleatoria	隨機旋轉
LINETOOL_DESCRIPTION	RandomRotation	Rotate each item randomly so they all face in different directions.	随机旋转每个物品，使其分别有不同的朝向。	Draai elk voorwerp willekeurig zodat ze allemaal in verschillende richtingen wijzen.	Dreht alle Elemente zufällig, so das sie alle in verschiedene Richtungen ausgerichtet sind.	Rotește fiecare element la întâmplare astfel încât toate să fie orientate în direcții diferite.	Rota cada elemento de manera aleatoria.	擺放物品時隨機旋轉，使其面向皆不同。
LINETOOL	SpacingDown	Decrease spacing	减少间距	Verklein afstand	Abstand verringern	Diminuează spațierea	Disminuir separación	減少間距
LINETOOL_DESCRIPTION	SpacingDown	Change the step size by holding down the shift key (step by 10m) or control key (step by 0.1m) when clicking.	调整参数时，按住 Shift 键 ×10，按住 Ctrl 键 ×0.1。	Wijzig de stapgrootte door de shift-toets ingedrukt te houden (stap van 10m) of de control-toets ingedrukt te houden (stap van 0, m) bij het klikken.	Ändere die Schrittgröße durch Drücken der Shift-Taste (Änderung um 10m) oder der STRG-Taste (Änderung um 0,1m) beim Klicken auf die Schaltfläche.	Schimbă dimensiunea pasului ținând apăsată tasta Shift (pas de 10m) sau tasta Control (pas de 0.1m) la apăsarea click-ului.	Cambia el incremento manteniendo presionada la tecla mayús (incrementa cada 10 m) o la tecla control (incrementa cada 0.1 m) al hacer clic.	調整數值時可使用組合鍵，長按 Shift 鍵時以 10 公尺為單位微調，長按 Ctrl 鍵時以 0.1 公尺為單位微調。
LINETOOL	SpacingUp	Increase spacing	增加间距	Vergroot afstand	Abstand erhöhen	Mărește spațierea	Incrementar espaciado	增加間距
LINETOOL_DESCRIPTION	SpacingUp	Change the step size by holding down the shift key (step by 10m) or control key (step by 0.1m) when clicking.	调整参数时，按住 Shift 键 ×10，按住 Ctrl 键 ×0.1。	Wijzig de stapgrootte door de shift-toets ingedrukt te houden (stap van 10m) of de control-toets ingedrukt te houden (stap van 0,1m) bij het klikken.	Ändere die Schrittgröße durch Drücken der Shift-Taste (Änderung um 10m) oder der STRG-Taste (Änderung um 0,1m) beim Klicken auf die Schaltfläche.	Schimbă dimensiunea pasului ținând apăsată tasta Shift (pas de 10m) sau tasta Control (pas de 0.1m) la apăsarea click-ului.	Cambia el incremento manteniendo presionada la tecla mayús (incrementa cada 10 m) o la tecla control (incrementa cada 0.1 m) al hacer clic.	調整數值時可使用組合鍵，長按 Shift 鍵時以 10 公尺為單位微調，長按 Ctrl 鍵時以 0.1 公尺為單位微調。
LINETOOL	AntiClockwise	Rotate anti-clockwise	逆时针旋转	Draai tegen de klok in	Gegen den Uhrzeigersinn drehen	Rotește în sens invers acelor de ceasornic	Girar hacia la izquierda	逆時針旋轉
LINETOOL_DESCRIPTION	AntiClockwise	Change the step size by holding down the shift key (rotate by 90&deg;) or control key (rotate by 1&deg;) when clicking.	调整角度时，按住 Shift 键一次可调整90&deg;，按住 Ctrl 键一次可调整1&deg;。	Wijzig de stapgrootte door de shift-toets ingedrukt te houden (roteer met 90&deg;) of de control-toets ingedrukt te houden (roteer met 1&deg;) bij het klikken.	Ändere die Schrittgröße durch Drücken der Shift-Taste (Drehung um 90&deg;) oder der STRG-Taste (Drehung um 1&deg;) beim Klicken auf die Schaltfläche.	Schimbă dimensiunea pasului ținând apăsată tasta Shift (rotație de 90&deg;) sau tasta Control (rotație de 1&deg;) la apăsarea click-ului.	Cambia el incremento manteniendo presionada la tecla mayús (rota 90 &deg;) o la tecla control (rota 1&deg;) al hacer clic.	調整數值時可使用組合鍵，長按 Shift 鍵時以 90&deg; 為單位旋轉，長按 Ctrl 鍵時以 1&deg; 為單位旋轉。
LINETOOL	Clockwise	Rotate clockwise	顺时针旋转90°	Draai met de klok mee	Im Uhrzeigersinn drehen	Rotește în sensul acelor de ceasornic	Girar hacia la derecha	順時針旋轉
LINETOOL_DESCRIPTION	Clockwise	Change the step size by holding down the shift key (rotate by 90&deg;) or control key (rotate by 1&deg;) when clicking.	调整角度时，按住 Shift 键一次可调整90°，按住 Ctrl 键一次可调整1°。	Wijzig de stapgrootte door de shift-toets ingedrukt te houden (roteer met 90&deg;) of de control-toets ingedrukt te houden (roteer met 1&deg;) bij het klikken.	Ändere die Schrittgröße durch Drücken der Shift-Taste (Drehung um 90&deg;) oder der STRG-Taste (Drehung um 1&deg;) beim Klicken auf die Schaltfläche.	Schimbă dimensiunea pasului ținând apăsată tasta Shift (rotație de 90&deg;) sau tasta Control (rotație de 1&deg;) la apăsarea click-ului.	Cambia el incremento manteniendo presionada la tecla mayús (rota 90&deg;) o la tecla control (rota 1&deg;) al hacer clic.	調整數值時可使用組合鍵，長按 Shift 鍵時以 90&deg; 為單位旋轉，長按 Ctrl 鍵時以 1&deg; 為單位旋轉。
LINETOOL	RandomSpacingDown	Decrease random spacing variation	减少随机间距变化范围	Verminder de willekeurige variatie in de tussenruimte	Verringere die zufällige Abstandsvariation	Diminuează variația distanțării aleatorie	Disminuir variación aleatorio de espaciado	減少隨機間距的變化範圍
LINETOOL_DESCRIPTION	RandomSpacingDown	Change the step size by holding down the shift key (step by 10m) or control key (step by 0.1m) when clicking. Set to zero for precise placement.	调整参数时，按住 Shift 键 ×10，按住 Ctrl 键 ×0.1。设置为零以实现精确放置。	Wijzig de stapgrootte door de shift-toets ingedrukt te houden (stap van 10m) of de control-toets ingedrukt te houden (stap van 0,1m) bij het klikken. Zet op nul voor nauwkeurige plaatsing.	Ändere die Schrittgröße durch Drücken der Shift-Taste (Änderung um 10m) oder der STRG-Taste (Änderung um 0,1m) beim Klicken auf die Schaltfläche. Auf null setzen, um präzise zu platzieren.	Schimbă dimensiunea pasului ținând apăsată tasta Shift (pas de 10m) sau tasta Control (pas de 0.1m) la apăsarea click-ului. Setează zero pentru o plasare precisă.	Cambia el incremento manteniendo presionada la tecla mayús (incrementa cada 10 m) o la tecla control (incrementa cada 0.1 m) al hacer clic. Establece el valor a cero para una posición precisa.	調整數值時可使用組合鍵，長按 Shift 鍵時以 10 公尺為單位調整，長按 Ctrl 鍵時以 0.1 公尺為單位調整，將數值設置為零可進行精確放置。
LINETOOL	RandomSpacingUp	Increase random spacing variation	增加随机间距变化范围	Vergroot de willekeurige variatie in de tussenruimte	Erhöhe die zufällige Abstandsvariation	Crește variația distanțării aleatorie	Incrementar variación de espaciado aleatorio	增加隨機間距的變化範圍
LINETOOL_DESCRIPTION	RandomSpacingUp	Change the step size by holding down the shift key (step by 10m) or control key (step by 0.1m) when clicking. Set to zero for precise placement.	调整参数时，按住 Shift 键 ×10，按住 Ctrl 键 ×0.1。设置为零以实现精确放置。	Wijzig de stapgrootte door de shift-toets ingedrukt te houden (stap van 10m) of de control-toets ingedrukt te houden (stap van 0,1m) bij het klikken. Zet op nul voor nauwkeurige plaatsing.	Ändere die Schrittgröße durch Drücken der Shift-Taste (Änderung um 10m) oder der STRG-Taste (Änderung um 0,1m) beim Klicken auf die Schaltfläche. Auf null setzen, um präzise zu platzieren.	Schimbă dimensiunea pasului ținând apăsată tasta Shift (pas de 10m) sau tasta Control (pas de 0.1m) la apăsarea click-ului. Setează zero pentru o plasare precisă.	Cambia el incremento manteniendo presionada la tecla mayús (incrementa cada 10 m) o la tecla control (incrementa cada 0.1 m) al hacer clic. Establece el valor a cero para una posición precisa.	調整數值時可使用組合鍵，長按 Shift 鍵時以 10 公尺為單位調整，長按 Ctrl 鍵時以 0.1 公尺為單位調整，將數值設置為零可進行精確放置。
LINETOOL	RandomOffsetDown	Decrease random sideways variation	减少两侧偏移范围	Verminder de willekeurige zijdelingse variatie	Verringere die zufällige seitliche Variation	Diminuează variația laterală aleatorie	Disminuir variación aleatoria de los lados	減少兩側偏移範圍
LINETOOL_DESCRIPTION	RandomOffsetDown	Change the step size by holding down the shift key (step by 10m) or control key (step by 0.1m) when clicking. Set to zero for precise placement.	调整参数时，按住 Shift 键 ×10，按住 Ctrl 键 ×0.1。设置为零以实现精确放置。	Wijzig de stapgrootte door de shift-toets ingedrukt te houden (stap van 10m) of de control-toets ingedrukt te houden (stap van 0,1m) bij het klikken. Zet op nul voor nauwkeurige plaatsing.	Ändere die Schrittgröße durch Drücken der Shift-Taste (Änderung um 10m) oder der STRG-Taste (Änderung um 0,1m) beim Klicken auf die Schaltfläche. Auf null setzen, um präzise zu platzieren.	Schimbă dimensiunea pasului ținând apăsată tasta Shift (pas de 10m) sau tasta Control (pas de 0.1m) la apăsarea click-ului. Setează zero pentru o plasare precisă.	Cambia el incremento manteniendo presionada la tecla mayús (incrementa cada 10 m) o la tecla control (incrementa cada 0.1 m) al hacer clic. Establece el valor a cero para una posición precisa.	調整數值時可使用組合鍵，長按 Shift 鍵時以 10 公尺為單位調整，長按 Ctrl 鍵時以 0.1 公尺為單位調整，將數值設置為零可進行精確放置。
LINETOOL	RandomOffsetUp	Increase random sideways variation	增加两侧偏移范围	Vergroot de willekeurige zijdelingse variatie	Erhöhe die zufällige seitliche Variation	Crește variația laterală aleatorie	Incrementar variación aleatoria de los lados	增加兩側偏移範圍
